City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
78,Nanortalik,60.1432,-45.2371,40.33,overcast clouds,73,100,6.44,GL
79,Celestun,20.8667,-90.4,88.63,few clouds,62,22,9.6,MX
80,Guerrero Negro,27.9769,-114.0611,67.48,few clouds,61,21,12.97,MX
81,Dikson,73.5069,80.5464,7.34,broken clouds,100,65,6.33,RU
82,Mataura,-46.1927,168.8643,57.47,moderate rain,86,87,3.24,NZ
83,Cassilandia,-19.1133,-51.7342,87.26,clear sky,22,0,0.65,BR
84,Kyshtovka,56.555,76.6271,33.3,broken clouds,44,81,4.61,RU
85,Donskoye,45.4552,41.9741,48.87,overcast clouds,65,100,7.31,RU
86,Rumonge,-3.9736,29.4386,72.14,light rain,84,90,3.8,BI
87,Yellowknife,62.456,-114.3525,35.2,snow,92,100,23.91,CA
88,Alihe,50.5667,123.7167,36.61,clear sky,56,0,1.57,CN
89,Nagato,34.3833,131.2,60.21,overcast clouds,82,92,15.19,JP
90,Rovaniemi,66.5,25.7167,45.81,clear sky,39,0,13.8,FI
91,Jamestown,42.097,-79.2353,61.52,clear sky,43,0,18.41,US
92,Vaini,-21.2,-175.2,75.33,light rain,75,88,12.66,TO
93,Banjar,-8.19,114.9675,78.69,scattered clouds,90,50,3.24,ID
94,Butaritari,3.0707,172.7902,80.98,light rain,80,94,13.65,KI
95,Bethel,41.3712,-73.414,54.64,overcast clouds,58,100,5.01,US
96,Concarneau,47.875,-3.9225,66.99,broken clouds,70,51,11.3,FR
97,Kholmogory,64.2229,41.656,48.78,scattered clouds,84,26,9.28,RU
98,Mangrol,21.1167,70.1167,82.35,clear sky,76,0,15.84,IN
99,San Ramon,37.7799,-121.978,65.91,broken clouds,63,75,12.66,US
100,Kaduqli,11.0167,29.7167,92.35,broken clouds,29,76,4.52,SD
101,Katsuura,35.1333,140.3,62.62,broken clouds,90,81,5.39,JP
102,Eltham,-39.4292,174.3,55.69,overcast clouds,99,92,3.29,NZ
103,Pathein,16.7833,94.7333,80.83,overcast clouds,78,100,2.59,MM
104,Svetlogorsk,52.6333,29.7333,51.57,overcast clouds,84,88,8.75,BY
105,Torbay,47.6666,-52.7314,43.54,broken clouds,62,75,8.01,CA
106,Saint-Louis,16.3333,-15.0,108.03,clear sky,8,3,13.33,SN
107,Jati,24.3539,68.2671,83.08,clear sky,67,0,16.73,PK
108,Necochea,-38.5473,-58.7368,73.22,broken clouds,46,70,14.94,AR
109,Barinitas,8.7622,-70.4111,82.02,overcast clouds,62,91,4.32,VE
110,Keningau,5.3378,116.1602,72.14,overcast clouds,99,100,1.45,MY
111,Hokitika,-42.7167,170.9667,57.36,overcast clouds,85,89,6.98,NZ
112,Maracaju,-21.6144,-55.1683,80.26,clear sky,38,0,7.56,BR
113,Byron Bay,-28.65,153.6167,62.94,overcast clouds,92,100,9.08,AU
114,Lorengau,-2.0226,147.2712,82.0,light rain,81,91,11.86,PG
115,Hofn,64.2539,-15.2082,43.88,broken clouds,75,54,15.46,IS
116,Coihaique,-45.5752,-72.0662,52.56,light rain,95,92,6.46,CL
117,Gat,31.61,34.7642,66.81,scattered clouds,24,25,5.19,IL
118,Acari,-15.4311,-74.6158,76.62,scattered clouds,59,43,9.44,PE
119,Aksarka,66.5606,67.7975,23.88,broken clouds,93,65,8.05,RU
120,Ribeira Grande,38.5167,-28.7,64.8,few clouds,68,20,5.75,PT
121,Ancud,-41.8697,-73.8203,55.18,light rain,89,100,19.08,CL
122,Bilibino,68.0546,166.4372,24.66,overcast clouds,94,95,3.0,RU
123,Biltine,14.5333,20.9167,96.69,scattered clouds,8,33,8.37,TD
124,Angoche,-16.2325,39.9086,74.52,broken clouds,79,79,6.49,MZ
125,Yulara,-25.2406,130.9889,44.78,clear sky,58,0,9.69,AU
126,Narsaq,60.9167,-46.05,44.35,overcast clouds,74,100,2.62,GL
127,Mozhga,56.4447,52.2276,45.81,scattered clouds,72,44,6.13,RU
128,Caluquembe,-13.7833,14.6833,62.42,broken clouds,58,75,4.52,AO
129,San Patricio,28.017,-97.5169,95.07,few clouds,39,13,11.83,US
130,Morant Bay,17.8815,-76.4093,86.7,few clouds,73,12,9.91,JM
131,East London,-33.0153,27.9116,64.13,heavy intensity rain,91,98,6.64,ZA
132,Xiashi,30.5363,120.6864,68.02,overcast clouds,89,98,10.47,CN
133,Kavieng,-2.5744,150.7967,82.69,broken clouds,77,69,17.92,PG
134,Kaitangata,-46.2817,169.8464,53.24,overcast clouds,81,85,5.73,NZ
135,Fortuna Foothills,32.6578,-114.4119,93.22,clear sky,18,0,5.75,US
136,Port Hedland,-20.3167,118.5667,71.65,clear sky,68,2,6.91,AU
