City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Port Blair,IN,81.9,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
182,Faanui,PF,80.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,Batesville,US,72.09,few clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
188,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
190,Bubaque,GW,77.9,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
191,Lompoc,US,71.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
198,Gushikawa,JP,76.23,mist,26.3544,127.8686,Kirari Guest House
202,Aswan,EG,84.99,clear sky,24.0934,32.907,Nuba Nile
206,Bereda,ES,68.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
211,Samarai,PG,82.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
212,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
213,Half Moon Bay,US,66.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
215,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
218,Prainha,BR,84.29,broken clouds,-1.8,-53.48,Casa Rocha
219,Imbituba,BR,71.85,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
220,Marawi,PH,70.36,overcast clouds,7.9986,124.2928,Derogongan Residence
223,Nakhon Phanom,TH,77.2,moderate rain,17.3333,104.4167,ป่ายางรีสอร์ท
225,Koumac,NC,72.03,scattered clouds,-20.5667,164.2833,Le Monitel
226,Tura,IN,74.26,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
228,Libertador General San Martin,AR,80.98,clear sky,-23.8064,-64.7876,Posada del Sol
230,Gopalpur,IN,80.85,few clouds,19.2667,84.9167,Gopalpur Palm Resort
232,Naze,JP,69.15,broken clouds,28.3667,129.4833,Shishime Hotel
234,Miles City,US,68.97,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
236,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
238,Najran,SA,84.76,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
240,Tayum,PH,77.45,broken clouds,17.6172,120.6542,Bangued Abra
241,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
244,Namibe,AO,73.15,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
245,Takoradi,GH,81.81,overcast clouds,4.8845,-1.7554,Raybow International Hotel
247,Malindi,KE,80.19,broken clouds,-3.2175,40.1191,African House Resort
249,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
251,Korla,CN,77.23,broken clouds,41.7597,86.1469,Gulisitan Hotel
255,Redwater,US,81.21,clear sky,33.3582,-94.2544,Witterstaetter Properties
258,Jawhar,SO,81.52,overcast clouds,2.7809,45.5005,hantiwadaag village part one
262,Hesperia,US,82.06,few clouds,34.4264,-117.3009,High Desert Inn
263,Kisangani,CD,73.56,broken clouds,0.5167,25.2,Grand Ramela Hotel
265,Umuarama,BR,73.2,scattered clouds,-23.7664,-53.325,Hotel Caiuá
269,Sitarganj,IN,84.2,few clouds,28.9333,79.7,OYO 37021 Hotel Sitar International
270,Sabang,ID,82.15,overcast clouds,5.8933,95.3214,Hotel Citra
274,Vila Franca Do Campo,PT,66.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
279,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
281,Bandarbeyla,SO,82.67,few clouds,9.4942,50.8122,JABIR HOTEL
282,Umm Lajj,SA,77.63,clear sky,25.0213,37.2685,Moon light Furnished Units
283,Salinas,US,68.99,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
287,Hualmay,PE,70.99,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
288,Huarmey,PE,71.33,few clouds,-10.0681,-78.1522,Hotel Miramar
289,Vao,NC,74.35,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
291,Gorontalo,ID,75.85,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
294,Mayumba,GA,78.33,overcast clouds,-3.432,10.6554,LIKWALE LODGE
297,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
298,Menongue,AO,69.87,broken clouds,-14.6585,17.691,Ritz Lauca
300,Anloga,GH,82.36,overcast clouds,5.7947,0.8973,Pin Drop Hotel
310,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
